f,neff(real),neff(imag),loss,beta(real),beta(imag),overlap,vg,D
2.306095830769e+014,3.296165547395e+000,0.000000000000e+000,0.000000000000e+000,1.593109149032e+007,0.000000000000e+000,9.999999996585e-001,8.496546998744e+007,4.018641931912e-002
2.289623717692e+014,3.294513460360e+000,0.000000000000e+000,0.000000000000e+000,1.580937011546e+007,0.000000000000e+000,9.999999986151e-001,8.510376645345e+007,-9.736136435019e-004
2.273151604615e+014,3.292874596328e+000,0.000000000000e+000,0.000000000000e+000,1.568782580725e+007,0.000000000000e+000,9.999999985967e-001,8.520025732294e+007,-9.539443683695e-004
2.256679491538e+014,3.291248515431e+000,0.000000000000e+000,0.000000000000e+000,1.556645511581e+007,0.000000000000e+000,9.999999985992e-001,8.535512401942e+007,-9.226447570868e-004
2.240207378462e+014,3.289634652620e+000,0.000000000000e+000,0.000000000000e+000,1.544525406420e+007,0.000000000000e+000,9.999999985731e-001,8.544874182746e+007,-9.040322638486e-004
2.223735265385e+014,3.288032550746e+000,0.000000000000e+000,0.000000000000e+000,1.532421925643e+007,0.000000000000e+000,9.999999985615e-001,8.557660898015e+007,-8.787505839317e-004
2.207263152308e+014,3.286441949061e+000,0.000000000000e+000,0.000000000000e+000,1.520334826819e+007,0.000000000000e+000,9.999999985501e-001,8.570688875273e+007,-8.532212964671e-004
2.190791039231e+014,3.284862659481e+000,0.000000000000e+000,0.000000000000e+000,1.508263904481e+007,0.000000000000e+000,9.999999985308e-001,8.580613442009e+007,-8.338978214924e-004
2.174318926154e+014,3.283295664264e+000,0.000000000000e+000,0.000000000000e+000,1.496209489089e+007,0.000000000000e+000,9.999999985113e-001,8.590709880241e+007,-8.144301724767e-004
2.157846813077e+014,3.281738795763e+000,0.000000000000e+000,0.000000000000e+000,1.484170472991e+007,0.000000000000e+000,9.999999984911e-001,8.600367549598e+007,-7.959279357944e-004
2.141374700000e+014,3.280192936476e+000,0.000000000000e+000,0.000000000000e+000,1.472147147370e+007,0.000000000000e+000,9.999999984796e-001,8.613967000192e+007,4.985942561903e-003
2.124902586923e+014,3.278656793030e+000,0.000000000000e+000,0.000000000000e+000,1.460138822205e+007,0.000000000000e+000,9.999999984594e-001,8.624343729593e+007,-7.507374817537e-004
2.108430473846e+014,3.277131633677e+000,0.000000000000e+000,0.000000000000e+000,1.448145957304e+007,0.000000000000e+000,9.999999984388e-001,8.634582205373e+007,-7.875937267939e-005
2.091958360769e+014,3.275616414724e+000,0.000000000000e+000,0.000000000000e+000,1.436167981306e+007,0.000000000000e+000,9.999999984241e-001,8.644639358501e+007,2.110918322905e-003
2.075486247692e+014,3.274110532088e+000,0.000000000000e+000,0.000000000000e+000,1.424204528490e+007,0.000000000000e+000,9.999999984148e-001,8.658752572847e+007,-6.872500758825e-004
2.059014134615e+014,3.272614731916e+000,0.000000000000e+000,0.000000000000e+000,1.412255824151e+007,0.000000000000e+000,9.999999983794e-001,8.665791351161e+007,4.583412093783e-003
2.042542021538e+014,3.271127316442e+000,0.000000000000e+000,0.000000000000e+000,1.400321037077e+007,0.000000000000e+000,9.999999983625e-001,8.676583605907e+007,-6.551761965877e-004
2.026069908462e+014,3.269649974914e+000,0.000000000000e+000,0.000000000000e+000,1.388400797740e+007,0.000000000000e+000,9.999999983405e-001,8.687346147437e+007,-6.360924183767e-004
2.009597795385e+014,3.268180829157e+000,0.000000000000e+000,0.000000000000e+000,1.376494210753e+007,0.000000000000e+000,9.999999983183e-001,8.698327695125e+007,-6.168218467741e-004
1.993125682308e+014,3.266720007669e+000,0.000000000000e+000,0.000000000000e+000,1.364601244911e+007,0.000000000000e+000,9.999999983048e-001,8.708799071332e+007,-4.084533810778e-003
1.976653569231e+014,3.265267037569e+000,0.000000000000e+000,0.000000000000e+000,1.352721618097e+007,0.000000000000e+000,9.999999982720e-001,8.716610516392e+007,-5.849330798313e-004
1.960181456154e+014,3.263822741951e+000,0.000000000000e+000,0.000000000000e+000,1.340855587142e+007,0.000000000000e+000,9.999999982592e-001,8.727701479868e+007,-5.657920473211e-004
1.943709343077e+014,3.262385898643e+000,0.000000000000e+000,0.000000000000e+000,1.329002564327e+007,0.000000000000e+000,9.999999982243e-001,8.735187776349e+007,-5.531367701798e-004
1.927237230000e+014,3.260956802337e+000,0.000000000000e+000,0.000000000000e+000,1.317162591501e+007,0.000000000000e+000,9.999999981997e-001,8.742775843096e+007,-5.401867174413e-004
1.910765116923e+014,3.259535082657e+000,0.000000000000e+000,0.000000000000e+000,1.305335440106e+007,0.000000000000e+000,9.999999981827e-001,8.756800475472e+007,2.801793901332e-002
1.894293003846e+014,3.258119230756e+000,0.000000000000e+000,0.000000000000e+000,1.293520434708e+007,0.000000000000e+000,9.999999981498e-001,8.762061185119e+007,-5.080525184165e-004
1.877820890769e+014,3.256710924546e+000,0.000000000000e+000,0.000000000000e+000,1.281718174899e+007,0.000000000000e+000,9.999999981247e-001,8.773863913273e+007,-4.889476777443e-004
1.861348777692e+014,3.255308736442e+000,0.000000000000e+000,0.000000000000e+000,1.269928025613e+007,0.000000000000e+000,9.999999980992e-001,8.785925768006e+007,-4.695964161419e-004
1.844876664615e+014,3.253912186435e+000,0.000000000000e+000,0.000000000000e+000,1.258149737887e+007,0.000000000000e+000,9.999999980657e-001,8.791768861254e+007,-3.043004907561e-002
1.828404551538e+014,3.252521920722e+000,0.000000000000e+000,0.000000000000e+000,1.246383500953e+007,0.000000000000e+000,9.999999980315e-001,8.797739752089e+007,-4.504767427481e-004
1.811932438462e+014,3.251137207476e+000,0.000000000000e+000,0.000000000000e+000,1.234628971813e+007,0.000000000000e+000,9.999999980035e-001,8.805773448296e+007,-4.376811480709e-004
1.795460325385e+014,3.249757627641e+000,0.000000000000e+000,0.000000000000e+000,1.222885935269e+007,0.000000000000e+000,9.999999979760e-001,8.818338901135e+007,-4.183196024489e-004
1.778988212308e+014,3.248383101832e+000,0.000000000000e+000,0.000000000000e+000,1.211154308556e+007,0.000000000000e+000,9.999999979468e-001,8.826434673496e+007,-4.056936940959e-004
1.762516099231e+014,3.247013128316e+000,0.000000000000e+000,0.000000000000e+000,1.199433853992e+007,0.000000000000e+000,9.999999979075e-001,8.835010133309e+007,1.514334437764e-003
1.746043986154e+014,3.245646691850e+000,0.000000000000e+000,0.000000000000e+000,1.187724152908e+007,0.000000000000e+000,9.999999978793e-001,8.843435480453e+007,2.304233465983e-003
1.729571873077e+014,3.244284786211e+000,0.000000000000e+000,0.000000000000e+000,1.176025528905e+007,0.000000000000e+000,9.999999978417e-001,8.851970394681e+007,-3.671995211695e-004
1.713099760000e+014,3.242926494456e+000,0.000000000000e+000,0.000000000000e+000,1.164337605842e+007,0.000000000000e+000,9.999999978104e-001,8.860684888124e+007,1.858317092597e-003
1.696627646923e+014,3.241571920328e+000,0.000000000000e+000,0.000000000000e+000,1.152660383178e+007,0.000000000000e+000,9.999999977702e-001,8.867293825687e+007,3.276711417519e-002
1.680155533846e+014,3.240219205152e+000,0.000000000000e+000,0.000000000000e+000,1.140993167906e+007,0.000000000000e+000,9.999999977457e-001,8.878273369541e+007,-3.285366507700e-004
1.663683420769e+014,3.238869568552e+000,0.000000000000e+000,0.000000000000e+000,1.129336366036e+007,0.000000000000e+000,9.999999976867e-001,8.882691993244e+007,8.108365009512e-004
1.647211307692e+014,3.237522170970e+000,0.000000000000e+000,0.000000000000e+000,1.117689655841e+007,0.000000000000e+000,9.999999976417e-001,8.889378186188e+007,-3.198697576928e-002
1.630739194615e+014,3.236176970695e+000,0.000000000000e+000,0.000000000000e+000,1.106052999877e+007,0.000000000000e+000,9.999999976067e-001,8.900936371379e+007,-2.968385337288e-004
